Position,1st Semi,2nd Semi,Finale,Artist name,Country,Song Name,Song video URL,Lyrics_en,Lyrics_ov,Lyrics_credits,Music_credits,Site_Facebook,Site_Youtube,Site_Twitter,Site_Instagram,Site_Spotify,Site_Tiktok,Broadcaster,Candidate_description,source_URL
1,TRUE,FALSE,FALSE,The Roop,Lithuania,Discoteque,https://youtube.com/watch?v=0rsUJWSwb0c,,"Ok, I feel the rhythm.
Something’s going on here.
The music flows through my veins.
It's taking over me.
It's slowly kickin’ in.
My eyes are blinking
And I don’t know what is happening.
I can’t control it.
Don’t wanna end it.
There’s no one here
And I don’t care
I feel it’s safe to dance alone.
Let's discoteque right at my home.
It is ok to dance alone.
Dance alone, dance alone, dance alone, dance alone
I got the moves - it's gonna blow.
By dancing on my own
I'm healing wounded soul.
My body's shaking,
Heart is breaking, have to let it go.
I need to get up.
And put my hands up.
There’s no one here
And I don’t care
I feel it’s safe to dance alone.
Let's discoteque right at my home.
It is ok to dance alone.
Dance alone, dance alone, dance alone, dance alone
I got the moves - it's gonna blow.
Let's discoteque right at my home.
It is ok to dance alone.
I got the moves - it's gonna blow.
It is ok to dance alone.
Let's discoteque right at my home.
It is ok to dance alone.
I got the moves - it's gonna blow.
It is ok to dance alone.","Vaidotas Valiukevičius, Mantas Banišauskas, Kalle Lindroth","Vaidotas Valiukevičius, Mantas Banišauskas, Robertas Baranauskas, Laisvūnas Černovas, Ilkka Wirtanen",https://www.facebook.com/theroopband/,,,https://www.instagram.com/theroopband/,https://open.spotify.com/artist/34G31kGbSQmemVlI0G784o?si=GUCKV7ZwRneHEQ9kB_VoiQ,https://www.tiktok.com/@theroopband,http://www.lrt.lt/,"The Roop are a Lithuanian pop/rock crossover band from Vilnius, with a distinctive party vibe and an eye for an iconic dance move or two.
The group features singer Vaidotas Valiukevičius, drummer Robertas Baranauskas and guitarist Mantas Banišauskas, all adding their different tastes and life experiences to The Roop’s body of work.The band became widely known after participating in 2018's Pabandom iš naujo! (‘Let’s Try Again!’, the Lithuanian Eurovision national final) with the song Yes, I Do. They finished the competition in third place.Taking the show’s name to heart, they returned in both 2020 and 2021 to try again, winning on both occasions with On Fire and Discoteque respectively.In English, ‘to roop’ is an archaic term that means ‘to shout out’ or ‘to make a great noise’. This is where the Lithuanian party-starters took their name from.",https://eurovision.tv/participant/the-roop-2021
1,FALSE,TRUE,FALSE,Senhit,San Marino,Adrenalina,https://youtube.com/watch?v=eRAN7AzEKak,,"I’m burnin up with affliction
Come gimme your full attention
I want you to tame my fire now
Who-o-o-o-oh
Can’t move without your eyes on me
It’s like my body’s yours only
So baby don’t leave me lonely now
Who-o-o-o-oh
We’re like fire and gasoline
Come and light it up with me
So high on ADRENALINE
You’re my ADRENALINA!
Just one touch and I’ll ignite
I’m a flame I’m dynamite
So high on ADRENALINE
You’re my ADRENALINA!
Oh oh oh - this place so fancy
Let’s go and light up this city
You’re close enough but I need you closer
Who-o-o-o-oh
You got me to this point- don’t let go
No I’m not leaving not without yo
You know and you know I kno-o-ow
(You know I know)
We’re like fire and gasoline
Come and light it up with me
So high on ADRENALINE
You’re my ADRENALINA!
Just one touch and I’ll ignite
I’m a flame I’m dynamite
So high on ADRENALINE
You’re my ADRENALINA!
Flo Rida
Senhit
she got adrenalina
Step in the party
Cause she know to do my body like hot coals
Gasoline, kerosene, stop drop roll
I can’t blame it on the stove
911 when she is coming down the pole
Yeaaa we like flames when we touch
Can’t get enough
We get ignited so excited
You can feel the rush
Like cloud fire, more fire
When we in the club
Put out my lighter I got the heat
She got me burning up
So hot look at it steams up
We got the blaze so we in inferno when we team up
Hot spot, hot girl have you seen her
We up in smoke, fireworks adrenalina
We’re like fire and gasoline
Come and light it up with me
So high on ADRENALINE
You’re my ADRENALINA!
Just one touch and I’ll ignite
I’m a flame I’m dynamite
So high on ADRENALINE
You’re my ADRENALINA!
Just one touch and I’ll ignite
I’m a flame I’m dynamite
So high on ADRENALINE
You’re my ADRENALINA!","Thomas Stengaard, Joy Deb, Linnea Deb, Jimmy Thörnfeldt, Kenny Silverdique, Suzi Pancenkov, Malou Linn Eloise Ruotsalainen, Chanel Tukia, Senhit Zadik Zadik, Dillard Tramar","Thomas Stengaard, Joy Deb, Linnea Deb, Jimmy Thörnfeldt, Kenny Silverdique, Suzi Pancenkov, Malou Linn Eloise Ruotsalainen, Chanel Tukia, Senhit Zadik Zadik, Dillard Tramar",https://www.facebook.com/senhitofficial,https://www.youtube.com/senhitofficial/,https://twitter.com/senhitofficial,https://www.instagram.com/senhitofficial/,https://open.spotify.com/artist/0kgOnYSaZeTf3ZnErgwkGT,,,"Born in Bologna to Eritrean parents, Senhit is a performer who combines her African roots with Italian style and a European electro-pop attitude.
The most serene club queen has worked with some of the biggest names on the Italian music scene, including Gaetano Curreri and Maurizio D'Aniello, as well as international producers like Busbee, Steve Daly & Jon Keep, Jamie Hartman and Brian Higgins.Senhit began her career in musical theatre, performing in a wide range of productions across Europe from The Lion King in Germany and Hair in Switzerland to Fame and Il Grande Campione in her native Italy.The pop princess represented San Marino in 2011 with the song Stand By and was due to perform a second time with Freaky! before the Contest was canceled due to the coronavirus.Where does her love of a dance banger come from? Well, in 2016, the singer travelled all over Europe performing in the most popular clubs: Milan, Amsterdam, Paris, Manchester, Berlin, London, there wasn’t a scene she didn’t rock! This led her to release the Hey Buddy EP and dance floor ready single Something On Your Mind.",https://eurovision.tv/participant/senhit-2021
2,FALSE,TRUE,FALSE,Uku Suviste,Estonia,The Lucky One,https://youtube.com/watch?v=QC06nyML2xg,,"Wonder if it ever crossed your mind
That what we had was really unbelievable
Unbeatable. A miracle.
Why'd you have to go and mess it up
Why'd you have to make what was unbreakable
Shakeable, unsaveable.
Now it is too late to cross your fingers
I am wide awake and not a dreamer
Hate it but it seems the dreams were never true
For a little while the fates were with us
Wonder why they had to turn against us
I could make a wish but there is no use
I can feel
Even though I'm numb
The change to come
Will hurt someone
I can see
This time it isn't me
I might be
The lucky one
I don't need a crystal ball to show me
Baby it is plain that you don't know me
When it comes to you I'm better off alone
I don't need a crystal ball to make me
Realise that if I stay you'll break me
Every sign is saying I should be gone
I should be gone
Thought I had a cloud over my head
It had to be my fault that it kept raining down
Until now I figured out
That if I had the nerve to say goodbye
I could look for clearer skies up over head
Weather says
Sun instead
I don't need a crystal ball to show me
Baby it is plain that you don't know me
When it comes to you I'm better off alone
I don't need a crystal ball to make me
Realise that if I stay you'll break me
Every sign is saying I should be gone
I should be gone
I can feel
Even though I'm numb
The change to come
Will hurt someone
I can see
This time it isn't me
I might be
The lucky one
I don't need a crystal ball to show me
Baby it is plain that you don't know me
When it comes to you I'm better off alone
I don't need a crystal ball to make me
Realise that if I stay you'll break me
Every sign is saying I should be gone
I should be gone","Uku Suviste, Sharon Vaughn",Uku Suviste,https://www.facebook.com/ukusuviste,,,https://www.instagram.com/ukusuviste/,https://open.spotify.com/artist/76FwN3u5L3LhNTqpF2gdh9?si=YLzy6G28Sw25RAPvS34fRg,,,"Born in the Estonian town of Võru, multi-talented Uku Suviste is a singer, pianist, composer and music producer.
The entertainment industry flows through the performer's veins as his father is a TV producer and his mother a classically trained singer.A patron of UNICEF Estonia, Suviste produced a song in collaboration with the Estonian Ministry of Defence called Võitmatu (Invincible), dedicated to all the Estonian soldiers who had served in Afghanistan.More recently, in 2018, Uku set his sights on international success and took part in The Voice of Russia, landing himself on the team of Ukrainian Eurovision icon Ani Lorak, and making it all the way to the semi-finals.The following year Uku competed in Eesti Laul (Estonia's national selection show), taking the silver medal with Pretty Little Liar, before returning to win the contest in 2020 with What Love Is.Readers of renowned Estonian magazine Kroonika voted Suviste ‘Estonia’s Sexiest Man’.Who are we to argue?",https://eurovision.tv/participant/uku-suviste-2021
2,TRUE,FALSE,FALSE,Ana Soklič,Slovenia,Amen,https://youtube.com/watch?v=p5LW-09r2JQ,,"Hey child,
Why ya hiding from the light?
Why ya cowering in fright?
Don't tell yourself
The heavens cast you out
And you've fallen from grace.
You'll get beaten and bruised,
You'll be scarred unto your core,
But it's gonna make you who you are.
When ya learn to heal,
When ya learn to rise again,
You can tell the sun amen.
Hallelujah,
We're glorious!
Hallelujah,
The day is dawning!
The storm's relentless,
But everybody knows,
Everybody knows
We're born to the fight.
Hey child,
The fear’ll never go away;
Might as well accept it now.
Learn to persevere,
Learn to count your blessings down…
Greet the future with amen.
Hallelujah,
We're glorious!
Hallelujah,
The day is dawning!
The storm's relentless,
But everybody knows,
Everybody knows
We're born to the fight.
Not until the rain has stopped,
Not until the thunder's hushed
Are we at rest, are we at peace… just imagine it.
Not until the storm has passed,
Not until it's quiet,
Can the heart that's broken cry.
Hallelujah,
We're glorious!
Hallelujah,
The day is dawning!
The storm's relentless,
But everybody knows,
Everybody knows
We're born to the fight.
Hey child,
Why ya hiding from the light?","Charlie Mason, Ana Soklič, Žiga Pirnat","Ana Soklič, Žiga Pirnat, Bojan Simončič",https://www.facebook.com/anasoklic,https://www.youtube.com/c/Annasoklich/featured,,https://www.instagram.com/anasoklich/,,,,"Ana Soklič began her music career at an early age; studying with Alenka Dernač-Bunta, the acclaimed Slovenian musician Darja Švajger (two-time Slovenian representative at the Eurovision Song Contest) and singing coach Nataša Nahtigal.
Soklič has competed twice at EMA (Slovenia's national selection show) and 3 times at the Slovenian Song Festival, where, in 2019, she won 2 jury awards for best interpretation and best song overall.The Savica-born songstress has often performed her tracks with the backing of a symphony orchestra, including the RTV Slovenia Symphony Orchestra. However, her favourite gigs are when she’s working with smaller ensembles as she feels the connection with the audience is at its most genuine and intimate.Ana had been due to perform Voda (Water) at the 2020 Contest, and was invited back by RTV to compete with a brand new track.",https://eurovision.tv/participant/ana-soklic-2021
3,FALSE,TRUE,FALSE,Benny Cristo,Czech Republic,omaga,https://youtube.com/watch?v=Kxa3ZtxIdxQ,,"I did a lot of dumb shhhh
a lot of things I wish I didn't do
baby come back
Won't you babe come back the whole world is crazy
is it crazy to love you
baby come back
won't you babe come back you said you're still too mad about them things I did
But I don't know what I did
My babe
you said you gained a few pounds you blame the apocalypse
there ain't no apocalypse long as you're here on my lips
Honestly, I don't care
I'm happy you're here
I'm trying to make you smile for a while now
I'm like oh my god you're so beautiful
why don't you come over and have it
why don't you let me have it all
You've been home too long I've been home too long
we both need to feel love nothing wrong with that
Můžeš být u mě klidně můžem dělat jakoby
There is no apocalypse long as you're here on my lips
Honestly, I don't care
I'm happy you're here
I'm trying to make you smile for a while now
I'm like oh my god you're so beautiful
why don't you come over and have it
why don't you let me have it all
Oh my god
oh my god
you're so beautiful
oh my god
oh my god
why don't you come over and have it
why don't you let me have it all
you said you're still too mad about them things I did
But I don't know what I did
My babe
you said you gained a few pounds you blame the apocalypse
there ain't no apocalypse long as you're here on my lips
Honestly, I don't care
I'm happy you're here
I'm trying to make you smile for a while now
I'm like oh my god you're so beautiful
why don't you come over and have it
why don't you let me have it all
Oh my god
oh my god
you're so beautiful
oh my god
oh my god
why don't you come over and have it
why don't you let me have it all",Benny Cristo,Filip Vlček,https://www.facebook.com/Cristovao.Ben,https://www.youtube.com/channel/UCbg2VbVFGVy_06MMdxvddEg,,https://www.instagram.com/bennycristo/,https://open.spotify.com/artist/1bpca6RQE5kp92pIwPMBE8,https://www.tiktok.com/@bennycristo,,"Already a competitive snowboarder, tennis ace and master of Brazilian jiu-jitsu, Plzeň-born performer Cristo can now add a second Eurovision entry to his list of accomplishments!
Benny’s roots span from the Czech Republic all the way to Angola (his mother and father’s respective birthplaces), and it’s his ability to fuse a range of global genres that broadcasters Česká televize (ČT) believe could give Cristo the edge at the Eurovision Song Contest.Last year Benny won the Czech Republic’s national selection show ESCZ with his track Kemama, pushing Elis Mraz & Čis T into second place. After the cancellation of the 2020 Contest, Benny Cristo was one of the first artists to receive a no-strings invitation from their home broadcaster to return with a new entry the following year.A man of many talents, Ben da Silva Cristóvão is incredibly popular in his home country, packing out Prague’s O2 arena with 15,000 fans to celebrate his first ten years on the music scene. He hopes to repeat this massive party in 2022 when circumstances allow.The omaga singer has been a vegan for many years, as well as a vocal and respected animal rights advocate.",https://eurovision.tv/participant/benny-cristo-2021
3,TRUE,FALSE,FALSE,Manizha,Russia,Russian Woman,https://youtube.com/watch?v=l01wa2ChX64,"Fields, fields, fields
I’m so small
Fields, fields, fields
I’m too small
How do You cross a field thru the fire?
How do you cross the field if you’re alone?
Heeeey?
Should I wait for a helpful hand?
Whaaat?
Who will stretch out for me, girls?
For ages now
From night till dawn
From the deepest of the night
We are waiting for a ship
A Sailing ship
Waiting very much
From night till dawn
Waiting for a ship
Waiting for a ship
But what’s the wait?
Stand up, let’s go!
Every Russian Woman
Needs to know
You're strong enough to bounce against the wall
What’s the rattling about?
Hey, beauty!
Are you waiting for your Prince?
Hey, beauty!
You’re 30!
Hello? Where are your kids?
You are cute overall
But should lose some weight
Wear something longer
Wear something shorter
Oh you grew up without a father?
You should do what you don’t want to
You sure you’d don’t want to?
Don’t want to?
You SHOULD!
Listen up, really!
We’re not a flock
Hey, crows, shoo!
Leave me alone (give me a break)
Now learn it by heart:
I don’t blame you a bit
But damn do I like myself
They just fight, always fight
Go round and round to just fight
But never pray
Boy without a father
Girl with no dad
But this broken family
Can’t break me","Поле поле поле
Я ж мала
Поле поле поле
Так мала
Как пройти по полю из огня
Как пройти по полю если ты одна?
А-а-а?
Ждать ли чьей-то ручечки, ручки?
А-а-а?
Кто подаст мне ручку девочки?
Из покон веков
С ночи до утра
С ночи-ночи
Ждем мы корабля
Ждем мы корабля
Очень очень
С ночи до утра
Ждем мы корабля
Ждем бы корабля
А что ждать?
Встала и пошла.
Every Russian Woman
Needs to know
You're strong enough to bounce against the wall
Шо там хорохорится?
Ой, красавица?
Ждешь своего юнца?
Ой, красавица
Тебе уж за 30
Ало? Где же дети?
Ты в целом красива
Но вот бы похудеть бы
Надень подлиннее
Надень покороче
Росла без отца
Делай то, что не хочешь
Ты точно не хочешь?
Не хочешь?
А надо.
Послушайте, правда.
Мы с вами не стадо
Вороны пщ-щ-щ пыщ-щ-щ
Отвалите
Теперь зарубите себе на носу
Я вас не виню
А себя я чертовски люблю
Борются, борются
Все по кругу борются
Да не молятся
Сын без отца
Дочь без отца
Но сломанной FAMILY
Не сломать меня",Manizha Sanghin,"Ori Avni, Ori Kaplan",https://www.facebook.com/manizhamusic/,,,https://www.instagram.com/manizha,https://open.spotify.com/artist/1Y53ZUhXBydAzILo4Qa0s1?si=ZGf5Fxb0TdyrbLezlfrCyw,,,"Manizha’s style of art-pop mixes banging beats with social commentary and an unshakable DIY ethos.
The Tajikistan-born artist not only writes her own music and lyrics, she also films, directs and edits her videos, creates her own visual content and commands her own collaborations. The commitment to creating her own art began when she started producing short films for instagram, and has led to sold out concerts in Moscow and St Petersburg.As well as blending different languages (including her mother tongue, Tajik) in her songs, Manizha bakes in strong social messaging about self love and body positivity; women’s and children’s rights; as well as national, cultural and sexual identity; and above all else, tolerance.In 2020, the singer was awarded a prize at the Berlin Music Video Awards for Nedoslavyanka. The song explores the challenges faced by immigrants - a subject Manizha is well versed in, as her family fled to Russia, to avoid the Civil War in Tajikistan.Manizha is a UN Goodwill Ambassador for the United Nations High Commissioner for Refugees (UNHCR) and actively participates in many of the projects and activities the program runs in Russia.",https://eurovision.tv/participant/manizha-2021
4,FALSE,TRUE,FALSE,Stefania,Greece,Last Dance,https://youtube.com/watch?v=Er06NBWo4bs,,"My heart was born a radical
electric and dynamical
I've never listened to the remedies
but no forevers no eternities
Holding on beyond the night
for a shadow that feels right
holding on beyond the night
to you
If the dreams we made are made of fire
I would give a life just to live the dream again
if our hearts are hanging on a wire
let’s forget the world below and dance
Until the end
Let’s Dance
Our last dance
Rocking romance
This isn’t (ain’t) our last last dance
(or this ain’t our last dance.)
My heart was born in neon lights
floating in space like satellites
looking for signs of life tonight
as we collide in black and white
Holding on beyond the night
for a shadow that feels right
holding on beyond the night
to you
If the dreams we made are made of fire
I would give a life just to live the dream again
Take a deeper breath before we touch
running out of time let’s use it up
hold me before the morning comes","Dimitris Kontopoulos, Arcade, Sharon Vaughn","Dimitris Kontopoulos, Arcade",https://www.facebook.com/stefaniaofficiall,https://www.youtube.com/user/koela01/,,https://www.instagram.com/stefania_/,https://open.spotify.com/artist/0HZUhj5PZHzHMWSI4s8rOQ?si=gxkXBZaBSsaCk3okfEQyNA,https://www.tiktok.com/@stefania_official,,"Stefania is a Greek-Dutch singer, actress and YouTuber, who has been performing since a very young age.
Got the feeling you’ve seen Stefania before? Well, in 2016 she was selected to represent the Netherlands at the Junior Eurovision Song Contest in Malta as a member of the girl band Kisses. The group performed the song Kisses and Dancin’ and finished in a respectable 8th place.A number of solo singles followed: Stupid Reasons (2018), Wonder (2019), I’m Sorry (Whoops!) (2019) and Turn Around (2019), before Stefania made her Greek television debut, performing at a popular music awards show.Last year, Stefania appeared in the online music show Q Sessions, presented by Dimitris Kontopoulos. She performed SUPERG!RL (her 2020 Eurovision entry) and two duets with Greek Eurovision legends Sakis Rouvas and Kalomira.Stefania is currently studying at the renowned music school Herman Brood Academie, whose notable alumni include Martin Garrix.",https://eurovision.tv/participant/stefania-2021
4,TRUE,FALSE,FALSE,Tusse,Sweden,Voices,https://youtube.com/watch?v=5P1ueI9j6gk,,"There’s fire in the rain
But we’ll get up again
We’re thousand miles apart
But we’ll overcome
I’ll never let you down
World is turning us around
But I feel it in my heart
Let’s make a brand new start
Can’t stop us now forget the haters
Get up and live and make it matter
There’s more to life so go ahead and sing it out
Can you hear a million voices
Calling out in the rain
You know we got a million choices
So go get out and let it rain
A million voices voices
A million voices voices....
There’s fire in the rain
And I can feel your pain
Painting all the scars in
The colors of change
Don’t let them hold you down
Don’t let them hold you down
Go shooting like a star
The star you are
Can’t stop us now forget the haters
Get up and live and make it matter
There’s more to life so go ahead and sing it out
Can you hear a million voices
Calling out in the rain
You know we got a million choices
So go get out and let it rain
A million voices voices
A million voices voices....
Can you hear them?
Can you hear them?
Can you hear a million voices
Calling out in the rain
You know we got a million choices
So go get out and let it rain
A million voices voices
A million voices voices....","Joy Deb, Linnea Deb, Jimmy ""Joker"" Thörnfeldt, Anderz Wrethov","Joy Deb, Linnea Deb, Jimmy ""Joker"" Thörnfeldt, Anderz Wrethov",https://facebook.com/tusseofc,,https://twitter.com/tusseofc,https://instagram.com/tusseofc,https://open.spotify.com/artist/1BwDWgdDJe3TJXLZkBkpsI?si=sQ0w1O51RnKM0DlITWzN6w,http://tiktok.com/@tusseofc,,"Tousin Michael Chiza, better known as Tusse, is a Swedish singer with Congolese roots who booked his ticket to Eurovision when he won 'Melodifestivalen' by a landslide.
A household name in Sweden, Tusse got his lucky break in Sweden’s Got Talent (advancing to the semi-finals) before cementing his popularity when he won Swedish Idol in 2019.He’s already got a string of hits to his name including My Soul Is Calling You (a tribute to his mother), the ballad A Better You, and a rendition of Whitney Houston's How Will I Know. Last Spring, Tusse released Innan du går (Before You Go), his first song entirely sung in Swedish.Always the pragmatist, when asked by Måns Zelmerlöw after winning Melodifestivalen: ‘Are you excited for Eurovision now?’ Tusse replied: ‘No, on Monday I have to hand in an essay in Nature science. Which I’m very excited for.’ That's dedication!",https://eurovision.tv/participant/tusse-2021
5,TRUE,FALSE,FALSE,Montaigne,Australia,Technicolour,https://youtube.com/watch?v=ghT5QderxCA,,"I wanna be close to my mother
I wanna belong to the world
A mirror that shows technicolour
I’d be a magnificent girl
But everything is frustrating
Everything moves along
Faster than I can relate to
But I got power yeah
Midnight is the hour, yeah
Time to take off your cloaks
Techni-technicolour
Techni-technicolour
If we stand together
We can do whatever
Technicolour
Technicolour
If we care for one another
We can
I wanna know that there’s a future
That I can move myself towards
And yet I promise you
Yes all you nasty dudes
I don’t need certainty
To get my pot of gold, no
Everything is frustrating
Everything moves along
Faster than I can relate to
But we got grace, yeah
We got style and lasers, yeah
Time to take to take off your cloaks
Techni-technicolour
Techni-technicolour
If we stand together
We can do whatever
Technicolour
Technicolour
If we care for one another
We can
Shine
Techni-technicolour
Techni-technicolour
If we stand together
We can do whatever
Techni-technicolour
Techni-technicolour
If we care for one another
We can
Shine","Jess Cerro, Dave Hammer","Jess Cerro, Dave Hammer",https://www.facebook.com/montaignemusic/,https://www.youtube.com/channel/UCSUVYNX5HNmyjYcUVE1lEqg,https://twitter.com/actualmontaigne,https://www.instagram.com/actualmontaigne,https://open.spotify.com/artist/1ZcnsSFqWusWlRK01vKE6b,https://www.tiktok.com/@actualmontaigne,,"The Sydney-based artist has become an important figure on the Aussie indie scene, receiving widespread praise for her working including an ARIA award for Best Breakthrough Artist and a nomination for Best Female Artist in 2016.
A natural storyteller and entertainer, the multi-talented Montaigne has never wavered on the delivery of a unique artistry that has seen the Sydneysider ascend from young indie leader, to one of Australia’s most individual and dynamic voices.Technicolour explores the human need to be close to one another, and was written and produced specifically with Eurovision in mind.“I initially started writing the song after a catch-up call with my mum that was really emotional and had me crying on the floor thinking of that first line, ‘I want to be close to my mother.’ The song became about resilience and the courage that comes from being able to be vulnerable, being able to ask for help, and knowing that in solidarity and togetherness we are stronger as people.""While the pandemic may have halted live gigs and performances (not to mention the 2020 Eurovision Song Contest that Montaigne was originally due to compete in) the singer has used lockdown time to throw herself back into her craft, ready to re-emerge in 2021 more than prepared for what’s set to be her strongest chapter yet.",https://eurovision.tv/participant/montaigne-2021
5,FALSE,TRUE,FALSE,Vincent Bueno,Austria,Amen,https://youtube.com/watch?v=1sY76L68rfs,,"I guess
Yeah you said that it's time for us to put
Our love
To rest
Dressed in black you left my neighbourhood
And I never thought you'd bury me & you
No I never thought we'd die
But amen
Amen
Tell me is this what you wanted?
Is this what you wanted?
Amen
Amen
Tell me is this what you wanted?
Tell me is this what you wanted?
Amen
I bet
It's just another funeral to you
But for me
It's the end
The marching band are playing 'gone too soon'
And I never thought you'd bury me & you
No I never thought we'd die
But amen
Amen
Tell me is this what you wanted?
Is this what you wanted?
Amen
Amen
Tell me is this what you wanted?
Tell me is this what you wanted?
It all feels like
Ya didn't even try oh try
Try to save us
All this time
Wasted on a lie
Amen
Amen
Are you getting what you wanted?
Hey are you getting what you wanted?
Amen
Amen
Are you getting what you wanted?
Hey are you getting what you wanted?","Tobias Carshey, Ashley Hicklin, Jonas Thander","Tobias Carshey, Ashley Hicklin, Jonas Thander",https://www.facebook.com/officialvincentbueno/,https://www.youtube.com/channel/UCwy63rmqVklAVtu5WexbkNQ,,https://www.instagram.com/officialvincentbueno/,https://open.spotify.com/artist/5NPCfx9lZOTGTaYg6FSWV2,,http://www.orf.at/,"Inspired by his father’s performances fronting a local rock band, Vincent learned to play the piano, guitar, drums and bass by the age of 11.
This set him on a lifelong path of musical creativity, and in 2003 Bueno decided to turn his passion into a profession, beginning his training in musical theatre at the Vienna Conservatory.The multi-talented musician was introduced to the Austrian public through the ORF talent contest Musical! The Show, where he emerged victorious having wowed the public with performances from Grease, Phantom of the Opera and Singin’ in the Rain, amongst many other shows.Returning to his family’s Ilocano roots, Vincent took part in the Philippine television show All-Star Sunday Afternoon Party XV in 2010, experiencing enough success to secure a record contract before returning to his native Austria.Having missed out on the 2020 Eurovision Song Contest, Vincent is back and excited to perform his new entry Amen, which will showcase his impressive vibrato and tenor vocal range.",https://eurovision.tv/participant/vincent-bueno-2021
