Position,Finale,Artist name,Country,Song Name,Lyrics_en
1.0,False,The Roop,Lithuania,Discoteque,"Ok, I feel the rhythm.
Something’s going on here.
The music flows through my veins.
It's taking over me.
It's slowly kickin’ in.
My eyes are blinking
And I don’t know what is happening.
I can’t control it.
Don’t wanna end it.
There’s no one here
And I don’t care
I feel it’s safe to dance alone.
Let's discoteque right at my home.
It is ok to dance alone.
Dance alone, dance alone, dance alone, dance alone
I got the moves - it's gonna blow.
By dancing on my own
I'm healing wounded soul.
My body's shaking,
Heart is breaking, have to let it go.
I need to get up.
And put my hands up.
There’s no one here
And I don’t care
I feel it’s safe to dance alone.
Let's discoteque right at my home.
It is ok to dance alone.
Dance alone, dance alone, dance alone, dance alone
I got the moves - it's gonna blow.
Let's discoteque right at my home.
It is ok to dance alone.
I got the moves - it's gonna blow.
It is ok to dance alone.
Let's discoteque right at my home.
It is ok to dance alone.
I got the moves - it's gonna blow.
It is ok to dance alone."
1.0,False,Senhit,San Marino,Adrenalina,"I’m burnin up with affliction
Come gimme your full attention
I want you to tame my fire now
Who-o-o-o-oh
Can’t move without your eyes on me
It’s like my body’s yours only
So baby don’t leave me lonely now
Who-o-o-o-oh
We’re like fire and gasoline
Come and light it up with me
So high on ADRENALINE
You’re my ADRENALINA!
Just one touch and I’ll ignite
I’m a flame I’m dynamite
So high on ADRENALINE
You’re my ADRENALINA!
Oh oh oh - this place so fancy
Let’s go and light up this city
You’re close enough but I need you closer
Who-o-o-o-oh
You got me to this point- don’t let go
No I’m not leaving not without yo
You know and you know I kno-o-ow
(You know I know)
We’re like fire and gasoline
Come and light it up with me
So high on ADRENALINE
You’re my ADRENALINA!
Just one touch and I’ll ignite
I’m a flame I’m dynamite
So high on ADRENALINE
You’re my ADRENALINA!
Flo Rida
Senhit
she got adrenalina
Step in the party
Cause she know to do my body like hot coals
Gasoline, kerosene, stop drop roll
I can’t blame it on the stove
911 when she is coming down the pole
Yeaaa we like flames when we touch
Can’t get enough
We get ignited so excited
You can feel the rush
Like cloud fire, more fire
When we in the club
Put out my lighter I got the heat
She got me burning up
So hot look at it steams up
We got the blaze so we in inferno when we team up
Hot spot, hot girl have you seen her
We up in smoke, fireworks adrenalina
We’re like fire and gasoline
Come and light it up with me
So high on ADRENALINE
You’re my ADRENALINA!
Just one touch and I’ll ignite
I’m a flame I’m dynamite
So high on ADRENALINE
You’re my ADRENALINA!
Just one touch and I’ll ignite
I’m a flame I’m dynamite
So high on ADRENALINE
You’re my ADRENALINA!"
2.0,False,Uku Suviste,Estonia,The Lucky One,"Wonder if it ever crossed your mind
That what we had was really unbelievable
Unbeatable. A miracle.
Why'd you have to go and mess it up
Why'd you have to make what was unbreakable
Shakeable, unsaveable.
Now it is too late to cross your fingers
I am wide awake and not a dreamer
Hate it but it seems the dreams were never true
For a little while the fates were with us
Wonder why they had to turn against us
I could make a wish but there is no use
I can feel
Even though I'm numb
The change to come
Will hurt someone
I can see
This time it isn't me
I might be
The lucky one
I don't need a crystal ball to show me
Baby it is plain that you don't know me
When it comes to you I'm better off alone
I don't need a crystal ball to make me
Realise that if I stay you'll break me
Every sign is saying I should be gone
I should be gone
Thought I had a cloud over my head
It had to be my fault that it kept raining down
Until now I figured out
That if I had the nerve to say goodbye
I could look for clearer skies up over head
Weather says
Sun instead
I don't need a crystal ball to show me
Baby it is plain that you don't know me
When it comes to you I'm better off alone
I don't need a crystal ball to make me
Realise that if I stay you'll break me
Every sign is saying I should be gone
I should be gone
I can feel
Even though I'm numb
The change to come
Will hurt someone
I can see
This time it isn't me
I might be
The lucky one
I don't need a crystal ball to show me
Baby it is plain that you don't know me
When it comes to you I'm better off alone
I don't need a crystal ball to make me
Realise that if I stay you'll break me
Every sign is saying I should be gone
I should be gone"
2.0,False,Ana Soklič,Slovenia,Amen,"Hey child,
Why ya hiding from the light?
Why ya cowering in fright?
Don't tell yourself
The heavens cast you out
And you've fallen from grace.
You'll get beaten and bruised,
You'll be scarred unto your core,
But it's gonna make you who you are.
When ya learn to heal,
When ya learn to rise again,
You can tell the sun amen.
Hallelujah,
We're glorious!
Hallelujah,
The day is dawning!
The storm's relentless,
But everybody knows,
Everybody knows
We're born to the fight.
Hey child,
The fear’ll never go away;
Might as well accept it now.
Learn to persevere,
Learn to count your blessings down…
Greet the future with amen.
Hallelujah,
We're glorious!
Hallelujah,
The day is dawning!
The storm's relentless,
But everybody knows,
Everybody knows
We're born to the fight.
Not until the rain has stopped,
Not until the thunder's hushed
Are we at rest, are we at peace… just imagine it.
Not until the storm has passed,
Not until it's quiet,
Can the heart that's broken cry.
Hallelujah,
We're glorious!
Hallelujah,
The day is dawning!
The storm's relentless,
But everybody knows,
Everybody knows
We're born to the fight.
Hey child,
Why ya hiding from the light?"
3.0,False,Benny Cristo,Czech Republic,omaga,"I did a lot of dumb shhhh
a lot of things I wish I didn't do
baby come back
Won't you babe come back the whole world is crazy
is it crazy to love you
baby come back
won't you babe come back you said you're still too mad about them things I did
But I don't know what I did
My babe
you said you gained a few pounds you blame the apocalypse
there ain't no apocalypse long as you're here on my lips
Honestly, I don't care
I'm happy you're here
I'm trying to make you smile for a while now
I'm like oh my god you're so beautiful
why don't you come over and have it
why don't you let me have it all
You've been home too long I've been home too long
we both need to feel love nothing wrong with that
Můžeš být u mě klidně můžem dělat jakoby
There is no apocalypse long as you're here on my lips
Honestly, I don't care
I'm happy you're here
I'm trying to make you smile for a while now
I'm like oh my god you're so beautiful
why don't you come over and have it
why don't you let me have it all
Oh my god
oh my god
you're so beautiful
oh my god
oh my god
why don't you come over and have it
why don't you let me have it all
you said you're still too mad about them things I did
But I don't know what I did
My babe
you said you gained a few pounds you blame the apocalypse
there ain't no apocalypse long as you're here on my lips
Honestly, I don't care
I'm happy you're here
I'm trying to make you smile for a while now
I'm like oh my god you're so beautiful
why don't you come over and have it
why don't you let me have it all
Oh my god
oh my god
you're so beautiful
oh my god
oh my god
why don't you come over and have it
why don't you let me have it all"
3.0,False,Manizha,Russia,Russian Woman,"Fields, fields, fields
I’m so small
Fields, fields, fields
I’m too small
How do You cross a field thru the fire?
How do you cross the field if you’re alone?
Heeeey?
Should I wait for a helpful hand?
Whaaat?
Who will stretch out for me, girls?
For ages now
From night till dawn
From the deepest of the night
We are waiting for a ship
A Sailing ship
Waiting very much
From night till dawn
Waiting for a ship
Waiting for a ship
But what’s the wait?
Stand up, let’s go!
Every Russian Woman
Needs to know
You're strong enough to bounce against the wall
What’s the rattling about?
Hey, beauty!
Are you waiting for your Prince?
Hey, beauty!
You’re 30!
Hello? Where are your kids?
You are cute overall
But should lose some weight
Wear something longer
Wear something shorter
Oh you grew up without a father?
You should do what you don’t want to
You sure you’d don’t want to?
Don’t want to?
You SHOULD!
Listen up, really!
We’re not a flock
Hey, crows, shoo!
Leave me alone (give me a break)
Now learn it by heart:
I don’t blame you a bit
But damn do I like myself
They just fight, always fight
Go round and round to just fight
But never pray
Boy without a father
Girl with no dad
But this broken family
Can’t break me"
4.0,False,Stefania,Greece,Last Dance,"My heart was born a radical
electric and dynamical
I've never listened to the remedies
but no forevers no eternities
Holding on beyond the night
for a shadow that feels right
holding on beyond the night
to you
If the dreams we made are made of fire
I would give a life just to live the dream again
if our hearts are hanging on a wire
let’s forget the world below and dance
Until the end
Let’s Dance
Our last dance
Rocking romance
This isn’t (ain’t) our last last dance
(or this ain’t our last dance.)
My heart was born in neon lights
floating in space like satellites
looking for signs of life tonight
as we collide in black and white
Holding on beyond the night
for a shadow that feels right
holding on beyond the night
to you
If the dreams we made are made of fire
I would give a life just to live the dream again
Take a deeper breath before we touch
running out of time let’s use it up
hold me before the morning comes"
4.0,False,Tusse,Sweden,Voices,"There’s fire in the rain
But we’ll get up again
We’re thousand miles apart
But we’ll overcome
I’ll never let you down
World is turning us around
But I feel it in my heart
Let’s make a brand new start
Can’t stop us now forget the haters
Get up and live and make it matter
There’s more to life so go ahead and sing it out
Can you hear a million voices
Calling out in the rain
You know we got a million choices
So go get out and let it rain
A million voices voices
A million voices voices....
There’s fire in the rain
And I can feel your pain
Painting all the scars in
The colors of change
Don’t let them hold you down
Don’t let them hold you down
Go shooting like a star
The star you are
Can’t stop us now forget the haters
Get up and live and make it matter
There’s more to life so go ahead and sing it out
Can you hear a million voices
Calling out in the rain
You know we got a million choices
So go get out and let it rain
A million voices voices
A million voices voices....
Can you hear them?
Can you hear them?
Can you hear a million voices
Calling out in the rain
You know we got a million choices
So go get out and let it rain
A million voices voices
A million voices voices...."
5.0,False,Montaigne,Australia,Technicolour,"I wanna be close to my mother
I wanna belong to the world
A mirror that shows technicolour
I’d be a magnificent girl
But everything is frustrating
Everything moves along
Faster than I can relate to
But I got power yeah
Midnight is the hour, yeah
Time to take off your cloaks
Techni-technicolour
Techni-technicolour
If we stand together
We can do whatever
Technicolour
Technicolour
If we care for one another
We can
I wanna know that there’s a future
That I can move myself towards
And yet I promise you
Yes all you nasty dudes
I don’t need certainty
To get my pot of gold, no
Everything is frustrating
Everything moves along
Faster than I can relate to
But we got grace, yeah
We got style and lasers, yeah
Time to take to take off your cloaks
Techni-technicolour
Techni-technicolour
If we stand together
We can do whatever
Technicolour
Technicolour
If we care for one another
We can
Shine
Techni-technicolour
Techni-technicolour
If we stand together
We can do whatever
Techni-technicolour
Techni-technicolour
If we care for one another
We can
Shine"
5.0,False,Vincent Bueno,Austria,Amen,"I guess
Yeah you said that it's time for us to put
Our love
To rest
Dressed in black you left my neighbourhood
And I never thought you'd bury me & you
No I never thought we'd die
But amen
Amen
Tell me is this what you wanted?
Is this what you wanted?
Amen
Amen
Tell me is this what you wanted?
Tell me is this what you wanted?
Amen
I bet
It's just another funeral to you
But for me
It's the end
The marching band are playing 'gone too soon'
And I never thought you'd bury me & you
No I never thought we'd die
But amen
Amen
Tell me is this what you wanted?
Is this what you wanted?
Amen
Amen
Tell me is this what you wanted?
Tell me is this what you wanted?
It all feels like
Ya didn't even try oh try
Try to save us
All this time
Wasted on a lie
Amen
Amen
Are you getting what you wanted?
Hey are you getting what you wanted?
Amen
Amen
Are you getting what you wanted?
Hey are you getting what you wanted?"
